店铺名称,价格,评价星级,口味,环境,服务,评论数,评论标签,图片评论数,好评数,中评数,差评数,店铺地址
有米记,120.0,5.0,9.2,9.2,9.3,445.0,"回头客(10),不用排队(3),现做现卖(31),弄堂小店(20),文艺清新(20),闺蜜聚会(11),朋友聚餐(11),到店自提(5),店内消毒(1)",345.0,427.0,11.0,7.0,地址:十梓467            (苏州日报社牌后面)
海底捞火锅(平江万达店),139.0,5.0,9.3,9.2,9.3,892.0,"回头客(119),菜品健康(64),不用排队(34),上菜快(17),到店自提(31),店内消毒(23),朋友聚餐(21),公司聚餐(8),闺蜜聚会(6),请客(3)",671.0,828.0,37.0,27.0,地址:3188平江万达A座5
龙鲜会·澳门生鲜火锅(万达广场店),134.0,5.0,9.0,9.0,9.0,417.0,"菜品健康(67),上菜快(28),回头客(13),牛肉赞(11),不用排队(9),海鲜棒(5),到店自提(1),店内消毒(1),家庭聚餐(3),闺蜜聚会(3)",192.0,373.0,22.0,23.0,地址:仓街上东188号万达广场            (唛KTV入口隔壁)
太和·红火锅料理,714.0,5.0,9.2,9.2,9.2,1202.0,"菜品健康(169),停车方便(26),回头客(23),不用排队(6),请客(36),闺蜜聚会(13),朋友聚餐(10),到店自提(8),店内消毒(2)",795.0,1117.0,61.0,24.0,地址:旺墩路罗酒店c栋层
海底捞火锅(张家港万达店),118.0,5.0,9.2,9.2,9.2,318.0,"回头客(38),菜品健康(21),不用排队(11),上菜快(4),海鲜棒(4),到店自提(12),店内消毒(5),朋友聚餐(6),闺蜜聚会(6),请客(3)",235.0,303.0,10.0,5.0,地址:20万达广场四
熊猫老灶火锅(观前店),112.0,5.0,9.1,9.2,9.1,4589.0,"菜品健康(640),回头客(214),上菜快(129),不用排队(95),停车免费(66),朋友聚餐(134),到店自提(63),闺蜜聚会(44),店内消毒(12),下午茶(4)",3584.0,4214.0,282.0,93.0,地址:富仁坊巷12
拾一,113.0,5.0,9.2,9.2,9.2,311.0,"菜品健康(84),牛肉赞(21),海鲜棒(10),回头客(9),停车方便(8),到店自提(8),闺蜜聚会(18),文艺清新(15),朋友聚餐(6),弄堂小店(3)",280.0,297.0,10.0,4.0,地址:长江777
OUSHABU(世茂店),258.0,4.5,8.6,8.8,8.7,101.0,"味道赞(20),菜品精致(10),牛肉赞(8),高大上(5),分量足(4),主食赞(3),空间大(31),有包间(22)",88.0,87.0,11.0,3.0,地址:世纪中心-创世纪9幢102
要德鲜派老火锅·鲜虾虾滑(翰林邻里中心店),97.0,5.0,9.1,9.1,9.1,564.0,"菜品健康(58),回头客(25),上菜快(20),不用排队(9),停车方便(4),朋友聚餐(16),到店自提(13),店内消毒(10),年会(4),深夜食堂(3)",388.0,516.0,27.0,20.0,地址:泉598翰邻里心2
八驿·新概念日式海鲜串(园区师惠坊店),145.0,5.0,9.1,9.2,9.2,486.0,"菜品健康(81),回头客(6),到店自提(65),年会(48),闺蜜聚会(10),朋友聚餐(9),文艺清新(4),家庭聚餐(4),店内消毒(1)",431.0,453.0,26.0,6.0,地址:星169号师商润万家2
捞王锅物料理(金鹰店),133.0,5.0,9.2,9.2,9.2,2968.0,"菜品健康(280),回头客(261),不用排队(95),停车方便(30),到店自提(47),朋友聚餐(36),店内消毒(31),闺蜜聚会(22),下午茶(9)",2017.0,2811.0,109.0,48.0,地址:狮路298金鹰购物场B1层
西大园·苏式铜炉火锅(石路店),114.0,5.0,9.2,9.3,9.2,1170.0,"菜品健康(181),回头客(62),停车方便(27),不用排队(16),有表演(5),夜景赞(4),朋友聚餐(26),弄堂小店(23),到店自提(7),店内消毒(3)",909.0,1115.0,50.0,5.0,地址:路63号
小洋屋和牛锅物料理,159.0,5.0,9.2,9.2,9.2,802.0,"菜品健康(126),回头客(38),海鲜棒(23),上菜快(18),不用排队(3),发发呆(3),店内消毒(6),朋友聚餐(13),闺蜜聚会(7),请客(4)",543.0,778.0,15.0,9.0,地址:柏庐1268雍景小底商
要德鲜派老火锅·鲜虾虾滑(何山路店),84.0,5.0,9.2,9.2,9.2,476.0,"菜品健康(76),回头客(24),上菜快(21),不用排队(4),店内消毒(25),朋友聚餐(13),到店自提(4),家庭聚餐(4),闺蜜聚会(3),工作餐(3)",363.0,455.0,15.0,6.0,地址:何山靠近时代花园
海底捞火锅(相城天虹店),126.0,5.0,9.3,9.3,9.4,2162.0,"回头客(240),菜品健康(142),不用排队(54),上菜快(33),停车方便(13),到店自提(66),朋友聚餐(36),店内消毒(19),24小时营业(12),下午茶(12)",1530.0,2059.0,62.0,41.0,地址:相与纪元路交汇处虹购物心4
龙鲜会·澳门生鲜火锅,179.0,5.0,9.1,9.2,9.2,3908.0,"菜品健康(459),回头客(103),上菜快(78),不用排队(43),夜景赞(5),下午茶(122),年会(77),朋友聚餐(72),到店自提(56),店内消毒(11)",3135.0,3598.0,214.0,95.0,地址:月街8号诚品生活3F
捞王锅物料理(苏州中心店),138.0,5.0,9.2,9.2,9.2,3672.0,"菜品健康(324),回头客(323),不用排队(68),上菜快(56),停车方便(10),夜景赞(3),朋友聚餐(61),到店自提(54),店内消毒(29),下午茶(4)",2571.0,3494.0,110.0,67.0,地址:路中商B区L404-17/18号            (4楼最端)
就是泰Just Thai泰式火锅(苏州中心店),150.0,4.0,8.3,8.3,8.2,423.0,"菜品健康(28),不用排队(13),回头客(11),发发呆(4),停车方便(3),到店自提(21),朋友聚餐(9),闺蜜聚会(7),店内消毒(1)",377.0,373.0,42.0,8.0,地址:州中心广区L6-06
左庭右院鲜牛肉火锅(苏州中心店),126.0,5.0,9.2,9.1,9.1,2982.0,"菜品健康(231),回头客(150),上菜快(69),不用排队(51),停车方便(12),朋友聚餐(51),闺蜜聚会(33),到店自提(17),店内消毒(3),下午茶(3)",1893.0,2753.0,159.0,70.0,地址:惠商场F5-05-07号
小炉鲜生·胃你一生,107.0,5.0,9.1,8.8,9.1,1739.0,"菜品健康(305),回头客(124),上菜快(23),不用排队(22),年会(44),朋友聚餐(35),闺蜜聚会(20),到店自提(16),深夜食堂(12),店内消毒(4)",1382.0,1637.0,82.0,20.0,地址:塘街13
海底捞火锅(SOHO购物广场店),126.0,5.0,9.2,9.2,9.2,899.0,"回头客(72),菜品健康(54),不用排队(13),上菜快(11),停车方便(5),到店自提(23),店内消毒(7),朋友聚餐(14),闺蜜聚会(13),24小时营业(3)",497.0,847.0,29.0,23.0,地址:杨舍河路88曼巴特SOHO购物广2层
醉迷炉·打边炉,118.0,5.0,9.1,9.0,9.1,232.0,"菜品健康(63),牛肉赞(40),上菜快(8),海鲜棒(7),冬天吃过瘾(6),回头客(6),不用排队(3),朋友聚餐(4),到店自提(1)",157.0,216.0,14.0,2.0,地址:何山时代街11号
老北京铜锅涮肉,96.0,4.5,9.0,8.7,9.0,314.0,"菜品健康(44),回头客(12),不用排队(6),上菜快(6),海鲜棒(5),朋友聚餐(9),到店自提(4),公司聚餐(3),请客(3),店内消毒(1)",169.0,281.0,26.0,7.0,"地址:中市与叉口，北码头对面            (阊门遗址旁,近老阊门)"
要德鲜派老火锅·鲜虾虾滑(海星广场店),99.0,5.0,9.1,9.1,9.1,575.0,"菜品健康(81),上菜快(24),停车方便(19),回头客(18),不用排队(10),朋友聚餐(16),到店自提(7),店内消毒(5),闺蜜聚会(4),家庭聚餐(3)",431.0,526.0,33.0,16.0,地址:商88海星活广场            (电梯直达)
炉火传奇·鲜菌牛腩火锅·汤煲(美京店),91.0,5.0,9.1,9.1,9.1,1048.0,"菜品健康(206),停车方便(22),回头客(19),上菜快(17),不用排队(13),文艺清新(27),到店自提(15),朋友聚餐(15),家庭聚餐(11),店内消毒(1)",872.0,977.0,63.0,8.0,地址:元路188号美假日广场5
一楽独食火锅(购物公园克拉水岸店),76.0,5.0,9.1,9.1,9.0,251.0,"味道赞(63),菜品健康(47),环境很好(40),价格实惠(18),上菜快(13),牛肉赞(10),回头客(7),发发呆(3),朋友聚餐(11)",165.0,224.0,23.0,4.0,地址:购物克拉水岸楼侧            (屈臣氏侧向内150米)
捞王锅物料理(昆城广场店),132.0,5.0,9.2,9.2,9.2,1009.0,"菜品健康(122),回头客(90),不用排队(14),上菜快(14),停车方便(11),到店自提(20),店内消毒(12),朋友聚餐(46),家庭聚餐(19),闺蜜聚会(17)",763.0,967.0,25.0,16.0,地址:人南路1188昆一楼513单元
本素·酸菜鱼(狮山龙湖天街店),83.0,5.0,9.1,9.2,9.2,1467.0,"上菜快(86),回头客(58),不用排队(35),年会(47),到店自提(32),店内消毒(24),现做现卖(18),朋友聚餐(17),闺蜜聚会(16),请客(7)",1066.0,1361.0,81.0,25.0,地址:塔路181狮山天生活场四期SZSSTJ-A-5F-23
要德火锅·鲜虾虾滑·鲜脆毛肚(木渎店),85.0,4.5,8.7,8.6,8.5,650.0,"菜品精致(50),回头客(31),上菜快(18),分量足(18),牛肉赞(10),海鲜棒(5),朋友聚餐(12),到店自提(7),店内消毒(5),家庭聚餐(5)",148.0,525.0,62.0,43.0,地址:路1-2            (真商旁)
洋房火锅,323.0,4.5,9.0,9.0,8.9,495.0,"菜品健康(65),停车方便(24),回头客(12),不用排队(4),请客(12),老洋房(11),到店自提(8),闺蜜聚会(6),公司聚餐(5)",364.0,426.0,29.0,40.0,地址:盘胥859姑苏69阁意产业D7            (泰让桥南行100米)
鲜货俚鲜火锅,114.0,4.5,8.9,8.9,8.9,1849.0,"菜品健康(362),上菜快(113),回头客(43),停车方便(29),海鲜棒(18),不用排队(7),到店自提(5),店内消毒(1),朋友聚餐(14),闺蜜聚会(9)",568.0,1640.0,126.0,83.0,地址:杨舍镇洲中223号            (悦宾馆隔壁)
颜府私房火锅(观前街店),133.0,5.0,9.1,9.3,9.2,893.0,"菜品健康(135),上菜快(14),回头客(14),不用排队(9),弄堂小店(209),朋友聚餐(19),隐于浮世(18),闺蜜聚会(17),别墅(10),到店自提(2)",722.0,849.0,34.0,10.0,地址:观前颜巷39
付小姐在成都(山塘街店),72.0,5.0,9.0,9.1,9.0,1497.0,"回头客(91),上菜快(62),不用排队(32),撸串圣地(16),夜景赞(8),朋友聚餐(37),到店自提(32),闺蜜聚会(9),下午茶(4),店内消毒(2)",1368.0,1371.0,118.0,5.0,地址:上塘街山塘历史文街渡僧桥1            (塘石入口处)
小龙坎老火锅(苏州中心店),131.0,4.5,8.8,9.0,8.8,5349.0,"菜品健康(375),不用排队(204),回头客(166),上菜快(89),停车方便(14),朋友聚餐(73),到店自提(26),店内消毒(14),下午茶(8),24小时营业(3)",3445.0,4534.0,484.0,330.0,地址:商区B-401号
捞王锅物料理(相城天虹店),133.0,5.0,9.2,9.2,9.2,1245.0,"菜品健康(122),回头客(117),不用排队(34),停车方便(19),上菜快(16),到店自提(40),朋友聚餐(21),店内消毒(8),闺蜜聚会(8),请客(8)",889.0,1188.0,48.0,9.0,地址:相1168相虹购物中F514铺
美虾美蟹(湖东旗舰店),141.0,5.0,9.2,9.2,9.2,1196.0,"停车方便(42),回头客(24),上菜快(19),不用排队(17),到店自提(56),年会(32),深夜食堂(23),朋友聚餐(20),现做现卖(11),店内消毒(5)",940.0,1135.0,52.0,9.0,地址:业区星178号东邻里心1幢113-115室
泰爷泰式火锅(滚绣坊店),129.0,5.0,9.1,9.2,9.2,1149.0,"菜品健康(131),回头客(21),不用排队(12),上菜快(11),弄堂小店(160),文艺清新(65),闺蜜聚会(25),朋友聚餐(12),到店自提(8),店内消毒(1)",937.0,1058.0,66.0,24.0,地址:滚绣坊47            (林苑)
捞王锅物料理(李公堤店),143.0,5.0,9.2,9.2,9.2,9207.0,"回头客(643),停车方便(121),不用排队(101),朋友聚餐(92),到店自提(76),店内消毒(69),深夜食堂(45),请客(35),下午茶(8)",2797.0,8833.0,232.0,142.0,地址:季路李堤期影院楼栋103，203号            (近鸡湖大入口)
谭鸭血老火锅(观前街店),115.0,4.5,8.9,8.9,9.0,2960.0,"菜品健康(258),回头客(77),不用排队(58),上菜快(53),朋友聚餐(65),弄堂小店(50),闺蜜聚会(34),到店自提(33),下午茶(3),店内消毒(2)",2230.0,2581.0,252.0,127.0,地址:颜家巷52号            (雅戈尔宫酒店对面)
一味红牛肉火锅店,72.0,5.0,9.2,9.2,9.2,273.0,"菜品精致(73),分量足(37),牛肉赞(19),停车方便(16),海鲜棒(15),上菜快(12),回头客(6),高大上(5),到店自提(10),店内消毒(2)",232.0,260.0,11.0,2.0,地址:文昌上河郡69幢302
原始煮意·地锅鸡(陆慕润元路店),73.0,5.0,9.2,9.1,9.2,199.0,"菜品精致(68),肉类好(15),回头客(11),停车方便(7),上菜快(3),到店自提(23),朋友聚餐(5),请客(5),闺蜜聚会(3),店内消毒(1)",144.0,190.0,9.0,0.0,地址:润巷东润元期商业109号            (润元路)
珮姐老火锅(龙湖狮山天街店),130.0,4.5,8.9,9.0,9.0,1810.0,"菜品健康(194),不用排队(86),上菜快(57),回头客(46),年会(42),朋友聚餐(39),店内消毒(29),闺蜜聚会(19),到店自提(11),可带宠物(3)",1519.0,1550.0,194.0,66.0,地址:塔路龙狮天生活B1下沉            (汉堡王旁边，粗糖斜对面)
一带一炉,158.0,5.0,9.0,9.0,9.0,346.0,"服务热情(101),味道赞(72),菜品健康(60),海鲜棒(40),回头客(21),停车方便(4),到店自提(1),文艺清新(3),现做现卖(3)",203.0,315.0,16.0,15.0,地址:虞景华28幢            (爸爸糖手工吐司旁)
要德火锅·鲜虾虾滑·鲜脆毛肚(石路店),94.0,4.5,8.6,8.5,8.3,3176.0,"回头客(131),上菜快(79),不用排队(23),店内消毒(88),朋友聚餐(85),到店自提(44),家庭聚餐(18),闺蜜聚会(12),深夜食堂(8),请客(7)",1517.0,2619.0,285.0,133.0,地址:永福30号
十四不搭打边炉(仓街店),111.0,5.0,9.1,9.0,9.1,1498.0,"回头客(70),上菜快(24),不用排队(8),有萌宠(3),弄堂小店(115),朋友聚餐(30),文艺清新(28),到店自提(17),请客(13),店内消毒(1)",1133.0,1348.0,96.0,54.0,地址:仓156
海底捞火锅(新湖广场店),129.0,5.0,9.3,9.3,9.3,736.0,"回头客(98),菜品健康(39),不用排队(20),停车方便(14),上菜快(12),到店自提(27),店内消毒(17),朋友聚餐(13),公司聚餐(8),家庭聚餐(5)",556.0,698.0,24.0,13.0,地址:江陵西1688湖广场SF212/三SF309商铺
洪禧楼(苏州中心店),148.0,5.0,9.0,9.1,9.1,2630.0,"回头客(64),不用排队(53),停车方便(16),朋友聚餐(63),请客(57),到店自提(52),下午茶(17),有宝宝椅(3),店内消毒(2)",2103.0,2331.0,221.0,77.0,地址:苏绣苏州心商场星悦汇4408
澳门星记猪骨(苏州圆融星座店),125.0,5.0,9.1,9.2,9.1,4107.0,"不用排队(144),回头客(110),上菜快(68),停车方便(18),到店自提(267),闺蜜聚会(57),朋友聚餐(55),现做现卖(41),下午茶(11),店内消毒(2)",3238.0,3721.0,275.0,111.0,地址:旺墩269圆融星座2F
重庆高老九火锅(昆山万象汇店),119.0,4.5,8.7,8.8,8.7,295.0,"菜品健康(30),牛肉赞(21),回头客(12),上菜快(9),不用排队(4),高大上(4),到店自提(4),店内消毒(3),朋友聚餐(9),家庭聚餐(3)",171.0,255.0,26.0,12.0,地址:前西1266万象汇L4层
左庭右院鲜牛肉火锅(苏州印象城店),124.0,5.0,9.1,9.1,9.1,5314.0,"菜品健康(359),回头客(226),上菜快(111),不用排队(86),朋友聚餐(66),到店自提(64),闺蜜聚会(42),店内消毒(8),可带宠物(3),下午茶(3)",2832.0,4924.0,268.0,121.0,地址:现代1699号印象购物中心4层
捞神汤物料理(曼巴特店),117.0,5.0,9.0,9.0,9.0,265.0,"味道赞(70),菜品健康(35),上菜快(10),牛肉赞(9),回头客(6),不用排队(5),海鲜棒(5),到店自提(4),朋友聚餐(5),闺蜜聚会(4)",169.0,235.0,24.0,6.0,地址:曼巴特购物场7楼7503
唐诗楼(李公堤店),392.0,5.0,9.2,9.3,9.2,711.0,"菜品健康(112),停车方便(19),回头客(10),夜景赞(3),文艺清新(18),闺蜜聚会(17),请客(14),朋友聚餐(8),到店自提(3),下午茶(3)",600.0,672.0,22.0,17.0,地址:鸡大李堤3期21幢
海悦汇·蒸汽海鲜·花园餐厅,182.0,4.5,9.1,9.0,9.0,544.0,"菜品健康(53),回头客(15),上菜快(7),不用排队(4),到店自提(14),朋友聚餐(14),年会(13),下午茶(11),闺蜜聚会(8),深夜食堂(6)",355.0,484.0,35.0,24.0,地址:善与聚贤叉口旁合景峰汇11期4幢2楼（烧烤楼上）
要德鲜派老火锅·鲜虾虾滑(南环沃尔玛店),86.0,4.5,8.8,8.7,8.6,1228.0,"回头客(42),停车方便(33),上菜快(23),不用排队(9),朋友聚餐(23),到店自提(15),家庭聚餐(9),闺蜜聚会(8),深夜食堂(4),店内消毒(3)",407.0,1011.0,147.0,70.0,地址:吴288号            (沃玛隔壁)
烹鲜记•打边炉•龙虾•海鲜,117.0,4.5,8.8,8.9,9.0,255.0,"菜品健康(37),牛肉赞(27),海鲜棒(24),停车方便(9),回头客(3),交通便利(3),朋友聚餐(7),公司聚餐(4),到店自提(1)",168.0,232.0,17.0,6.0,地址:松涛1088斜塘老20栋1-8
屋利餐厅(临顿路店),69.0,4.5,8.5,9.0,9.0,1308.0,"上菜快(37),回头客(20),不用排队(14),到店自提(31),朋友聚餐(25),闺蜜聚会(14),下午茶(7),工作餐(5),文艺清新(5),请客(5)",933.0,1125.0,134.0,49.0,地址:顿218
老家大锅台(木渎店),76.0,5.0,9.1,8.8,9.1,619.0,"停车方便(19),回头客(15),不用排队(6),现做现卖(45),到店自提(12),公司聚餐(12),24小时营业(11),家庭聚餐(9),朋友聚餐(8),店内消毒(1)",408.0,576.0,32.0,11.0,地址:惠灵香1-1-4号            (山路)
海底捞火锅(方塔东街店),119.0,5.0,9.2,9.2,9.2,937.0,"回头客(106),菜品健康(60),不用排队(17),上菜快(10),到店自提(46),店内消毒(21),朋友聚餐(15),闺蜜聚会(9),现做现卖(4),公司聚餐(3)",663.0,891.0,26.0,20.0,地址:方塔199号电商厦4
要德火锅·鲜虾虾滑·鲜脆毛肚(澳门街店),84.0,4.0,8.2,8.1,8.1,243.0,"味道赞(54),菜品精致(22),回头客(11),分量足(10),不用排队(3),交通便利(3),朋友聚餐(4),到店自提(3),店内消毒(1)",59.0,202.0,28.0,13.0,地址:灵路，木渎路商业广18
和顺羊肉馆,86.0,5.0,9.2,8.7,9.1,2357.0,"回头客(191),上菜快(127),不用排队(12),到店自提(214),年会(87),朋友聚餐(32),家庭聚餐(14),现做现卖(13),闺蜜聚会(8),店内消毒(1)",1695.0,2168.0,116.0,69.0,地址:穹灵2270号
西大园·苏式铜炉火锅(观前总店),113.0,5.0,9.0,9.0,9.0,1558.0,"菜品健康(181),回头客(45),不用排队(19),弄堂小店(198),朋友聚餐(27),闺蜜聚会(26),文艺清新(26),到店自提(9),下午茶(5)",1096.0,1383.0,123.0,52.0,地址:玄妙调丰巷30号
捞王锅物料理(昆山万象汇店),130.0,5.0,9.1,9.1,9.1,393.0,"菜品健康(65),回头客(32),不用排队(6),上菜快(4),到店自提(3),店内消毒(9),朋友聚餐(12),家庭聚餐(7),请客(5),现做现卖(3)",338.0,367.0,17.0,9.0,地址:1266号万象汇L4L402号商铺
玄牧·锅无忌自助和牛涮烤专行(万达广场店),140.0,5.0,9.1,9.1,9.1,1475.0,"上菜快(168),回头客(157),不用排队(12),发发呆(4),到店自提(5),店内消毒(2),朋友聚餐(28),闺蜜聚会(11),家庭聚餐(8),公司聚餐(3)",859.0,1372.0,59.0,44.0,地址:民东万达广4楼
楠火锅(观前街店),98.0,4.0,8.4,8.7,8.5,1350.0,"不用排队(31),回头客(19),发发呆(9),朋友聚餐(29),闺蜜聚会(14),弄堂小店(10),到店自提(9),现做现卖(5),店内消毒(1)",1074.0,1018.0,220.0,112.0,地址:干将东观前街邵磨针巷888-3
海底捞火锅(吴江爱琴海店),130.0,5.0,9.1,9.1,9.2,137.0,"服务热情(91),回头客(24),味道赞(19),菜品健康(13),不用排队(9),牛肉赞(4),停车方便(3),到店自提(4),店内消毒(5),朋友聚餐(4)",111.0,129.0,5.0,3.0,地址:蓉街1298
秦记水佬坊香港火锅(苏悦广场店),149.0,5.0,9.1,9.2,9.1,3815.0,"菜品健康(447),回头客(174),不用排队(51),停车方便(32),夜景赞(5),朋友聚餐(73),到店自提(46),下午茶(6),店内消毒(4)",2556.0,3495.0,210.0,109.0,地址:道118号悦L4            (悦北楼4)
餐爆·火锅烧烤食材(苏站路店),38.0,4.5,9.0,8.9,9.0,197.0,"性价比高(61),价格实惠(55),服务热情(51),味道赞(40),菜品健康(25),海鲜棒(3),交通便利(3),分量足(3),羊肉(29),到店自提(16)",179.0,186.0,8.0,1.0,地址:路1082号（尚花门口）
捞王锅物料理(吴江万象汇店),135.0,5.0,9.2,9.2,9.2,1125.0,"回头客(116),菜品健康(109),不用排队(35),上菜快(18),停车方便(5),到店自提(33),店内消毒(35),朋友聚餐(38),闺蜜聚会(13),请客(13)",876.0,1056.0,52.0,16.0,地址:平路润万象汇2层
朱小乐龙虾·火锅·江湖菜(新街口店),138.0,5.0,9.1,9.1,9.2,364.0,"海鲜棒(75),牛肉赞(10),上菜快(6),回头客(6),深夜食堂(19),朋友聚餐(11),到店自提(7),公司聚餐(4),闺蜜聚会(4),现做现卖(3)",291.0,336.0,24.0,4.0,地址:区方洲633号3幢103室
段公子斑鱼府,226.0,4.5,9.0,8.8,9.0,303.0,"菜品健康(39),海鲜棒(28),停车方便(8),回头客(7),不用排队(4),上菜快(4),请客(11),到店自提(6),闺蜜聚会(5),朋友聚餐(3)",206.0,273.0,15.0,15.0,地址:旺墩135号恒宇广期2
有拈头成都市井火锅(观前街店),89.0,5.0,9.0,9.0,9.0,1580.0,"上菜快(36),不用排队(33),回头客(25),发发呆(7),朋友聚餐(29),闺蜜聚会(20),弄堂小店(6),到店自提(5),文艺清新(4),店内消毒(1)",1222.0,1371.0,167.0,42.0,地址:邵磨针巷18            (星巴克、肯基对面)
海底捞火锅(太阳广场店),132.0,5.0,9.3,9.2,9.2,491.0,"回头客(90),菜品健康(38),不用排队(24),上菜快(8),停车方便(4),到店自提(17),店内消毒(15),朋友聚餐(13),闺蜜聚会(6),24小时营业(4)",398.0,468.0,19.0,4.0,地址:路88阳场5楼501
蝶轩福禧楼港式火锅,281.0,5.0,9.2,9.2,9.1,203.0,"菜品健康(50),高大上(26),海鲜棒(17),牛肉赞(13),停车方便(6),上菜快(5),闺蜜聚会(6),朋友聚餐(5),请客(4),店内消毒(2)",179.0,194.0,8.0,1.0,地址:星汉1082楼
小龙坎老火锅(富仁坊店),120.0,4.5,8.9,9.1,8.8,3219.0,"菜品健康(221),不用排队(158),回头客(99),上菜快(83),朋友聚餐(50),闺蜜聚会(32),深夜食堂(22),到店自提(20),请客(19),店内消毒(8)",2179.0,2774.0,270.0,175.0,地址:仁坊巷68            (达厦商贸中1)
金科土火锅(润元路店),137.0,5.0,9.2,9.2,9.3,443.0,"上菜快(60),菜品健康(59),停车方便(23),回头客(19),不用排队(5),朋友聚餐(10),深夜食堂(7),闺蜜聚会(4),到店自提(2),店内消毒(1)",277.0,409.0,30.0,4.0,地址:润巷172号
锅爷打边炉(莫邪路店),136.0,4.5,8.9,9.0,8.9,1545.0,"菜品健康(203),夜景赞(48),回头客(32),停车方便(29),上菜快(22),不用排队(15),朋友聚餐(33),深夜食堂(18),闺蜜聚会(13),到店自提(5)",997.0,1352.0,135.0,57.0,地址:莫邪路99新地c3幢103-105室
滚滚锅社,65.0,5.0,9.1,9.1,9.2,201.0,"味道赞(66),菜品精致(55),牛肉赞(18),上菜快(6),回头客(6),交通便利(5),主食赞(3),到店自提(7),文艺清新(7),朋友聚餐(5)",183.0,198.0,3.0,0.0,地址:繁星巷狮场2期龙狮街6幢105商铺
付小姐在成都(星海街店),77.0,5.0,9.1,9.0,9.1,6663.0,"回头客(392),上菜快(253),不用排队(166),撸串圣地(129),朋友聚餐(163),到店自提(134),闺蜜聚会(64),下午茶(9),店内消毒(5),有宝宝椅(4)",4924.0,6159.0,340.0,159.0,地址:星58            (近星，楼下)
锅境港式功夫火锅·夜宵(苏州店),550.0,5.0,9.1,9.2,9.2,177.0,"高大上(29),牛肉赞(21),菜品健康(19),饮品赞(10),交通便利(6),回头客(4),海鲜棒(4),请客(12),到店自提(3)",149.0,164.0,10.0,2.0,地址:思99协鑫广区3楼L301-L303
